Species,latitude,longitude
U,38.93468,-77.26153667
U,44.37193037,-75.94727923
U,44.74661637,-80.0796967
U,44.23512128,-75.90005874
U,41.06407047,-83.76198422
U,40.582445,-74.13195833
U,40.9783222,-74.9404227
U,43.37211167,-80.34981667
U,46.3124,-83.304305
U,42.63340984,-85.49454935
U,43.55381295,-79.65817252
U,41.55599667,-86.99699333
U,45.514112,-75.33988
U,44.48483738,-78.08224345
U,39.21808333,-77.09271833
U,44.69866709,-63.55653191
U,39.73721667,-77.62902833
U,44.38310734,-75.8284401
U,37.28232103,-80.46816422
U,44.41870113,-75.87257725
U,37.13060821,-76.47108485
U,38.12388236,-75.50690529
U,38.73685045,-77.25278823
U,40.66288,-75.14745283
U,45.455527,-75.548011
U,45.20957746,-75.22937536
U,39.1923,-76.80149667
U,37.23750959,-80.40298695
U,40.23819733,-87.78781891
U,42.46322279,-83.99190091
U,41.64622258,-74.1876625
U,40.01795672,-83.09757974
U,44.49373667,-75.817
U,39.8744681,-86.29616994
U,36.01211166,-78.97195156
U,45.510097,-75.341735
U,39.04902217,-77.321205
U,38.8726311,-77.13878915
U,39.05184897,-77.33389697
U,44.29859889,-75.98711343
U,45.64412204,-74.95499734
U,38.88368905,-77.15313533
U,45.449073,-75.510139
U,41.15173022,-81.54689989
U,42.23619617,-71.0884408
U,41.76765,-71.67028
U,43.811005,-71.14247783
U,42.99834681,-76.09278129
U,44.44788185,-75.89949686
U,40.63656333,-74.10137
U,42.4569019,-83.9917263
U,39.13230367,-77.5300148
U,42.20638279,-71.42462483
U,45.356685,-75.404935
U,41.47428416,-77.63520963
U,43.96027778,-79.61777778
U,41.79764016,-72.23476101
U,42.05967217,-73.90483833
U,40.28675368,-75.16780224
U,42.11561667,-76.78766667
U,43.25165833,-73.17126333
U,42.42969167,-71.11889667
U,39.29163667,-77.72826333
U,39.31596891,-77.63131789
U,41.3172184,-81.4192248
U,42.48401608,-83.97698724
U,40.99743839,-77.83973227
U,38.79924957,-77.23532674
U,38.93782,-77.26264167
U,39.35799932,-77.33102519
U,41.440979,-81.84693146
U,44.55530067,-75.82621435
U,37.91051167,-75.35547
U,39.27804623,-77.10383194
U,41.1668939,-81.5667704
U,43.06547046,-85.77985709
U,42.45687756,-83.99246406
U,42.00502104,-71.51273175
U,37.37546599,-77.36169733
U,44.69216431,-63.70576859
U,42.325805,-72.53818667
U,40.33014616,-74.94097117
U,40.63159523,-75.38595317
U,45.4564418,-75.63660244
